antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SanDisk Ultra 64GB card'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.09825356619117451,0.12958272230369283,0.021997067057725635,0.22388059701492538,1.7277040722314356,0.009265102474627166,1.121499184724088
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'SanDisk Ultra 64GB card'}),0.12958272230369283,0.09825356619117451,0.021997067057725635,0.1697530864197531,1.7277040722314354,0.009265102474627166,1.0861183812418567
frozenset({'USB 2.0 Printer cable'}),frozenset({'Apple Lightning to Digital AV Adapter'}),0.1709105452606319,0.0871883748833489,0.021997067057725635,0.12870514820592824,1.4761732671141707,0.007095654366024093,1.0476495106531305
frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'USB 2.0 Printer cable'}),0.0871883748833489,0.1709105452606319,0.021997067057725635,0.25229357798165136,1.4761732671141707,0.007095654366024093,1.1088435652342468
frozenset({'Stylus Pen for iPad'}),frozenset({'Apple Pencil'}),0.09505399280095987,0.17970937208372217,0.021730435941874418,0.2286115007012623,1.2721178536796502,0.004648342581563273,1.0633949412805566
frozenset({'Apple Pencil'}),frozenset({'Stylus Pen for iPad'}),0.17970937208372217,0.09505399280095987,0.021730435941874418,0.12091988130563798,1.27211785367965,0.004648342581563273,1.0294238124086972
frozenset({'Apple Pencil'}),frozenset({'Nylon Braided Lightning to USB cable'}),0.17970937208372217,0.09532062391681109,0.021730435941874418,0.12091988130563798,1.2685594820609658,0.004600426471155668,1.029120505451594
frozenset({'Nylon Braided Lightning to USB cable'}),frozenset({'Apple Pencil'}),0.09532062391681109,0.17970937208372217,0.021730435941874418,0.22797202797202798,1.2685594820609658,0.004600426471155668,1.0625141285509758
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Apple Lightning to Digital AV Adapter'}),0.17411011865084655,0.0871883748833489,0.021463804826023197,0.12327718223583461,1.4139176513012162,0.006283426530108832,1.0411633034081629
frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.0871883748833489,0.17411011865084655,0.021463804826023197,0.24617737003058102,1.4139176513012162,0.006283426530108832,1.0956023983820413
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Logitech M510 Wireless mouse'}),0.17411011865084655,0.07145713904812692,0.021197173710171976,0.1217457886676876,1.7037596283513519,0.008755762752052558,1.057259787622621
frozenset({'Logitech M510 Wireless mouse'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.07145713904812692,0.17411011865084655,0.021197173710171976,0.2966417910447761,1.7037596283513519,0.008755762752052558,1.174209486480494
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Anker USB C to HDMI Adapter'}),0.17411011865084655,0.06839088121583789,0.020930542594320756,0.12021439509954057,1.7577547322449392,0.009022998151195267,1.0589047076867848
frozenset({'Anker USB C to HDMI Adapter'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.06839088121583789,0.17411011865084655,0.020930542594320756,0.3060428849902534,1.7577547322449394,0.009022998151195267,1.1901165986857183
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'SanDisk Ultra 128GB card'}),0.23836821757099053,0.06332489001466471,0.020263964804692707,0.08501118568232663,1.342460850111857,0.0051693236440180645,1.023701159323826
frozenset({'SanDisk Ultra 128GB card'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.06332489001466471,0.23836821757099053,0.020263964804692707,0.32,1.342460850111857,0.0051693236440180645,1.1200467388661905
frozenset({'HP 62XL Tri-Color ink'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.058525529929342755,0.23836821757099053,0.020130649246767097,0.3439635535307517,1.4429925140012128,0.006180022995112005,1.1609595572442193
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'HP 62XL Tri-Color ink'}),0.23836821757099053,0.058525529929342755,0.020130649246767097,0.08445190156599552,1.4429925140012128,0.006180022995112005,1.0283178695701496
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Premium Nylon USB Cable'}),0.23836821757099053,0.0510598586855086,0.020130649246767097,0.08445190156599552,1.653978364612356,0.007959601742475753,1.0364721885585282
